ID,Comments
1,Wants to get an additional loan working by the end of the week for his goat.
5,Really wants the new bank account from XVYX which has the PDA built in.
13,Asked about coverage in Los Angeles and New York. Is afraid that he will be out of network when traveling.
18,The customer was very unhappy with the wait time for support. Then he said that his recption was just too unreliable to be of any value.
35,Wanted to know the nearest branch lctn. Wants to buy additional features.
39,Said his debit card never has worked well. Wants a new bank account ASAP.
42,He loves the bank account when it works. The problem is that the bank account hardly ever works. He thinks the debit card is lame.
43,He does not know if the problems are related to the bank account or if it is just the debit card. He was willing to test a new debit card. I asked him to try that first. If he is still having problems he will call us back.
45,Really is unhappy with the website. Claims the self service stuff does not work.
53,Really is unhappy with the website. Claims the self service stuff does not work. In addition thinks he bank account does not work well.
54,He complained about receiving outbound calls to his cell from our marketing people. He says that we have sold his personal information and he is on numerous lists. He said that if we continued to do this he would get rid of the service.
57,Wanted more information on the family account. Also asked about how he could use money market.
65,He asked for a new bank account number. I referred him to customer care.
84,He asked us to please take him off the outbound call list. In addition wants to change rate account at the end of the year.
85,The customer has a number of complaints. His major issue was that the handset buttons were hard to use. He was not happy with the bank account at all.
90,Wants to know how to do credit card. Referred him to web site.
103,He asked us to please take him off the outbound call list. In addition wants to change rate account at the end of the year.
112,"His bank account still does not work properly. He can not understand it. His last bank account worked great, but this bank account is constanly dropping calls. He asked what he could do? He really just wants his old bank account back at this point."
114,Cant wait for us to open the new digitial service. He wants to try the new GSM. He says that if it is much later than June he will probably switch to another carrier.
135,He really thinks the reception is inadequate everywhere but on the highway. Wants to know when this will be fixed?
140,Wants to know why the rate account is so hard to figure out. He does not believe his anytime perks are being subtracted properly. He wanted to speak to the manager ASAP.
141,Hochie Momma
154,Asking for a change of address and wants to switch accounts. Transeffered him to customr care.
158,He claimed that the savings account never really worked very well. As a result the bank account was always dying on him. He could not wait to get out of his current contract.
181,Wanted to know the nearest branch location. Wants to buy additional access-ories.
189,He loves the bank account when it works. The problem is that the bank account hardly ever works. He thinks the debit card is lame.
198,He found a better rate and no contract. He said he cold not wait until his contract expired.
200,He found a better rate and no contract. He said he cold not wait until his contract expired.
234,He expected more from Technical Support.
245,Hopes to get an additonal loan working by the end of the week for his wife.
250,Wanted to know the nearest branch location. Wants to buy aditional features.
254,Wanted a different rate account which included roll over perks. He claims that we are not as competitive as other companies.
257,Asked about how to change his ring tones. Referred him to web site.
258,"She wants a new bank account. Has tried to use a couple of different model, but is now fed up. She is will ing to pay some of the cost, but wants a credit on her bill. She said her friend has the same service and a different bank account that works great. She also wa"
272,The handset really sucked. I could not hear anything near my house.
275,Wants to know how to do credit card. Referred him to website.
298,He expected more from Technical Support.
309,Asked about coverage in Los Angeles and New York. Is afraid that he will be out of network when traveling.
319,Asking for a change of address and wants to switch accounts. Transeffered him to customr care.
321,I suspect that the handset on my bank account was defective from the day I bought it.
323,Getting really bad reception with his handset. Hopes this will improve in the near future. Wants to know if this would improve if he switched to 3g.
325,Does not like the way the bank account works. It is to difficult compared to his last bank account.
329,The debit card on the bank account just does not last long enough. He charges it and after a couple of calls it simply dies on him. He replaced the debit card per our suggestion and he still has the same problem. He says that we should replace the whole bank account.
356,Your customer handset was really bad. I had to wait forever to get help.
358,He does not know if the problems are related to the bank account or if it is just the debit card. He was willing to test a new debit card. I asked him to try that first. If he is still having problems he will call us back.
361,He lost his bank account and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.
378,He found a better rate and no contract. He said he cold not wait until his contract expired.
384,He expected significantly better Technical Support.
386,The handset really sucked. I could not hear anything near my house.
392,Called about new account. Might switch soon. Wants more perks.
393,"He is really unhappy with his bill. He says that there are numerous calls he has never made, but that show up on his bank account. He says that he simply does not trust our system."
411,Needs help learning how to use the bank account. I suggested he go back to the branch and have the rep teach him.
426,Wants to change rate accounts to get family all on same bill. I transferred him to cstmer care.
434,Wants to add additional loans for family. Needs more info on rates.
445,The customer is really unhappy with his internet connectivity. He says the way we charge is substantively higher comapred to the competition. Wants to know when we will change our rates or if there are other options for someone who uses it a lot.
452,The customer is really unhappy with his internet connectivity. He says the way we charge is substantively higher comapred to the competition. Wants to know when we will change our rates or if there are other options for someone who uses it a lot.
458,Does not understand why he gets charged for roaming. I referred him to the web site.
462,Wants to know how to do credit card. Referred him to web site.
463,He complained about receiving outbound calls to his cell from our marketing people. He says that we have sold his personal information and he is on numerous lists. He said that if we continued to do this he would get rid of the service.
465,Wanted to know the nearest branch lctn. Wants to buy additional features.
469,He found a better rate and no contract. He said he cold not wait until his contract expired.
481,"Wants to add additional loans and bank accounts for his kids. I created the ticket, but dont kno when someone will get back to him. He asked if I could get back to him."
484,Needs help learning how to use the bank account. I suggested he go back to the branch and have the rep teach him.
507,Really is unhappy with the website. Claims the self service stuff does not work.
508,The customer has a number of complaints. His major issue was that the handset buttons were hard to use. He was not happy with the bank account at all.
510,"This customer was very unhappy. He said he will not pay until we get him a new bank account. Furthermore, he sees no reason why he should pay for a service that did not work."
515,I expected significantly better service.
517,Said his batery never has worked well. Wants a new bank account ASAP.
519,He claimed that the savings account never really worked very well. As a result the bank account was always dying on him. He could not wait to get out of his current contract.
523,The handset reception was worse than abysmal.
532,He is really upset with out false advertising. He thinks that we do not test any of the equipment.
538,He asked for a new bank account number. I referred him to customer care.
540,The handset reception was worse than abysmal.
549,"This customer was very unhappy. He said he will not pay until we get him a new bank account. Furthermore, he sees no reason why he should pay for a service that did not work."
550,Wants to change rate accounts to get family all on same bill. I transferred him to cstmer care.
556,Wants to know why the rate account is so hard to figure out. He does not believe his anytime perks are being subtracted properly. He wanted to speak to the manager ASAP.
563,Hopes to get an additonal loan working by the end of the week for his wife.
573,Wants to know how to do credit card. Referred him to web site.
580,Cant wait for us to open the new digitial service. He wants to try the new GSM. He says that if it is much later than June he will probably switch to another carrier.
589,Lost the directions to bank account and wants another manual. I referred him to web site.
598,The customer has a number of complaints. His major issue was that the handset buttons were hard to use. He was not happy with the bank account at all.
604,"Wants to kno when we will improve our coverage area. He said that when he signed up last year we told him that there would more coverage within the year. He says that he continues to roam, and is rater tired of paying these charges. I told him that I did"
607,Asking for a change of address and wants to switch accounts. Transeffered him to customr care.
618,"His bank account still does not work properly. He can not understand it. His last bank account worked great, but this bank account is constanly dropping calls. He asked what he could do? He really just wants his old bank account back at this point."
641,He really thinks the reception is inadequate everywhere but on the highway. Wants to know when this will be fixed?
644,Said his batery never has worked well. Wants a new bank account ASAP.
646,Asked how to disable call waiting. referred him to web site.
649,Does not like the way the bank account works. It is to difficult compared to his last bank account.
650,He does not know if the problems are related to the bank account or if it is just the debit card.
670,The reception near his home is really horrible. He knows exactly when his calls will drop. He wants to know what we are going to do to fix this? He says that if we do not fix it he will go to a different cell company and since we can not keep our end of t
677,"Can not believe the roaming charges. He said that when he signed up that the sales person misled him with respect to what would be covered. In addition, he thinks that the reception in many of the cities he travels to is inadequate."
678,Said his debit card never has worked well. Wants a new bank account ASAP.
680,He loves the bank account when it works. The problem is that the bank account hardly ever works. He thinks the debit card is lame.
689,I expected significantly better service.
693,"He found a bank account and wanted to know what to do with it. He said it was one of ours, but that the debit card was dead. Asked who he should send it too."
696,Getting really bad reception with his handset. Hopes this will improve in the near future. Wants to know if this would improve if he switched to 3g.
710,I expected significantly better service.
719,Hopes to get an additonal loan working by the end of the week for his wife.
737,"He says that we keep sending him the bill to the wrong address. We have his correct billing address. I don’t know why he is not getting it. He was very angry that we shut his service off for not paying. I offered to take a CC, but he was unwilling to do s"
741,"Cant believe he was stupid enough to sign a year contract. He thinks that we provide the worst service he has ever encountered. Furthermore, the bank account is so shitty that he would not give it to an enemy. He now realizes you get what you pay for. I transfe"
747,"He hates his bank account. He can not understand why we gave him such a horrible piece of rubbish. I tried to explain that he could bring it in for service, but he just wants a new bank account. He does not want to waste any more time with the 3399. I asked customer car"
769,Needs help with basic bank account usage. I suggested he go back to the branch and ask for some help.
780,The handset really sucked. I could not hear anything near my house.
782,I expected significantly better service.
790,"He called and said someone stole his bank account last week, but he did not notice until today. He does not want to pay for any calls made during the last week. I switched him to the supervisor after telling him our policy."
798,Wants to get an additional loan working by the end of the week. Forwarded him on to customer care.
811,Hochie Momma
812,Cant get his check card to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.
814,Really is unhappy with the website. Claims the self service stuff does not work. In addition thinks he bank account does not work well.
828,The customer was very unhappy with the wait time for support. Then he said that his recption was just too unreliable to be of any value.
844,Wanted to know the nearest branch location. Wants to buy additional features.
845,He expected significantly better Technical Support.
866,He complained about receiving outbound calls to his cell from our marketing people. He says that we have sold his personal information and he is on numerous lists. He said that if we continued to do this he would get rid of the service.
868,"This customer was very unhappy. He said he will not pay until we get him a new bank account. Furthermore, he sees no reason why he should pay for a service that did not work."
869,"Wants to add additional loans and bank accounts for his kids. I created the ticket, but dont kno when someone will get back to him. He asked if I could get back to him."
870,Is it possible that the handset is causing brain cancer. I heard about this from the news.
877,He complained about receiving outbound calls to his cell from our marketing people. He says that we have sold his personal information and he is on numerous lists. He said that if we continued to do this he would get rid of the service.
882,Needs help learning how to use the bank account. I suggested he go back to the branch and have the rep teach him.
887,Claimed his bill had numerous calls that he never made. He started asking me if our billing system ever made mistakes. He said that sometimes he could over hear other bank account calls. He thinks he is being charged for those calls.
891,"This customer was very unhappy. He said he will not pay until we get him a new bank account. Furthermore, he sees no reason why he should pay for a service that did not work."
898,I expected significantly better Technical Support.
900,"Deos not believe how poor our service is in evrey way. He does not get good reception, thinks his bank account sucks, and thinks our service is abysmal."
903,"She wants a new bank account. Has tried to use a couple of different model, but is now fed up. She is will ing to pay some of the cost, but wants a credit on her bill. She said her friend has the same service and a different bank account that works great. She also wa"
920,The customer was very unhappy with the wait time for support. Then he said that his recption was just too unreliable to be of any value.
930,Wants to change rate accounts to get family all on same bill. I transferred him to customer care.
935,Does not understand why his bank account dies everytime he gets to a certain intersection. I explained the concept of towers and wholes in coverage. He said that the sales person never told him about this. He wanted to know when we would fix such holes.
939,Wants to know why the rate account is so hard to figure out. He does not believe his anytime perks are being subtracted properly. He wanted to speak to the manager ASAP.
943,Very unhappy with new bank account because it does not use a simm chip. He says he wll have to reenter all his information in his bank account book and he finds that a waste of time. Claims other companies use simm to make this easier with their bank accounts.
956,I suspect that the handset on my bank account was defective from the day I bought it.
962,Handset sucked
969,"He says that his bank account works fine when using it in the car with the adapter, but the debit card performance sucks. He can not wait to change bank accounts. He wanted to know if we would send him a new bank account."
972,The debit card has never worked right. He says he cant use the bank account much since the debit card dies so often. Wants to know if this is a problem with his bank account and if there are other batteries he can try. I referred him to web site.
977,Wants an address change.
987,Wants to know how to do credit card. Referred him to website.
988,The signal on my handset was always weak. Even when I replaced the debit card.
993,"He says that his bank account works fine when using it in the car with the adapter, but the debit card performance sucks. He can not wait to change bank accounts. He wanted to know if we would send him a new bank account."
997,"He hates his bank account. He can not understand why we gave him such a horrible piece of rubbish. I tried to explain that he could bring it in for service, but he just wants a new bank account. He does not want to waste any more time with the 3399. I asked customer car"
1002,Lost the directions to bank account and wants another manual. I referred him to web site.
1021,Needs help with basic bank account usage. I suggested he go back to the branch and ask for some help.
1026,Wants to change adress.
1028,Wanted to know his usage and whether he was roaming. Also want to know the rates when he is roaming. Thinking about changing rate accounts as well.
1031,Hopes to get an additonal loan working by the end of the week for his wife.
1035,Wants to know why the rate account is so hard to figure out. He does not believe his anytime perks are being subtracted properly. He wanted to speak to the manager ASAP.
1043,Wanted to know the nearest branch location. Wants to buy additional features.
1059,Wants to get an additional loan working by the end of the week for his goat.
1062,Lost his savings account and wants to know where he can another ASAP. I suggested local branch.
1065,"He called and said someone stole his bank account last week, but he did not notice until today. He does not want to pay for any calls made during the last week. I switched him to the supervisor after telling him our policy."
1068,"He says that his bank account works fine when using it in the car with the adapter, but the debit card performance sucks. He can not wait to change bank accounts. He wanted to know if we would send him a new bank account."
1069,Really is unhappy with the website. Claims the self service stuff does not work.
1106,He complained about receiving outbound calls to his cell from our marketing people. He says that we have sold his personal information and he is on numerous lists. He said that if we continued to do this he would get rid of the service.
1112,Wanted to know the nearest branch location. Wants to buy additional features.
1118,"He says that his bank account works fine when using it in the car with the adapter, but the debit card performance sucks. He can not wait to change bank accounts. He wanted to know if we would send him a new bank account."
1120,Needs help with basic bank account usage. I suggested he go back to the branch and ask for some help.
1126,transferred to manager ASAP
1148,Does not like the way the bank account works. It is to difficult compared to his last bank account.
1185,Wants to get an additional loan working by the end of the week for his goat.
1197,The reception near his home is really horrible. He knows exactly when his calls will drop. He wants to know what we are going to do to fix this? He says that if we do not fix it he will go to a different cell company and since we can not keep our end of t
1199,Wants a new faceplate.
1217,I suspect that the handset on my bank account was defective from the day I bought it.
1225,Wanted to know the nearest branch locatn. Wants to buy additional features.
1230,Wants an address change.
1231,The customer is really unhappy with his internet connectivity. He says the way we charge is substantively higher comapred to the competition. Wants to know when we will change our rates or if there are other options for someone who uses it a lot.
1240,Wanted to know the nearest branch location. Wants to buy additional features.
1245,Wants to change address.
1248,Needs help learning how to use the bank account. I suggested he go back to the branch and have the rep teach him.
1252,Wanted to know the nearest branch locatn. Wants to buy additional features.
1285,"He says that his bank account works fine when using it in the car with the adapter, but the debit card performance sucks. He can not wait to change bank accounts. He wanted to know if we would send him a new bank account."
1288,cant figure out how to check his vm when out of area. I referred him to our web site.
1289,Wants information on our Internet service. Referred him to web site.
1294,The debit card on the bank account just does not last long enough. He charges it and after a couple of calls it simply dies on him. He replaced the debit card per our suggestion and he still has the same problem. He says that we should replace the whole bank account.
1298,He loves the bank account when it works. The problem is that the bank account hardly ever works. He thinks the debit card is lame.
1299,Lost his savings account and wants to know where he can another ASAP. I suggested local branch.
1302,Wants to know how to do credit card. Referred him to web site.
