PRODUCT_LINE,GENDER,AGE,MARITAL_STATUS,PROFESSION
Checking Account,M,27,Single,Professional
Checking Account,F,39,Married,Other
Personal Loan,F,39,Married,Other
Checking Account,F,56,Unspecified,Hospitality
Credit Card,M,45,Married,Retired
Credit Card,M,45,Married,Retired
Money Market Account,F,39,Married,Other
Money Market Account,F,49,Married,Other
Citigold,F,49,Married,Other
Credit Card,M,47,Married,Retired
Credit Card,M,47,Married,Retired
Personal Loan,M,21,Single,Retail
Checking Account,F,66,Married,Other
Money Market Account,F,35,Married,Professional
Personal Loan,M,20,Single,Sales
Personal Loan,M,20,Single,Sales
Personal Loan,M,20,Single,Sales
Checking Account,F,37,Single,Other
Money Market Account,M,42,Married,Other
Money Market Account,F,24,Married,Retail
Checking Account,F,24,Married,Retail
Personal Loan,M,29,Single,Retail
Money Market Account,M,29,Single,Retail
Money Market Account,M,43,Married,Trades
Money Market Account,M,43,Married,Trades
Money Market Account,F,43,Unspecified,Hospitality
Money Market Account,F,43,Unspecified,Hospitality
Money Market Account,F,43,Unspecified,Hospitality
Money Market Account,F,43,Unspecified,Hospitality
Personal Loan,M,29,Single,Other
Checking Account,M,41,Married,Professional
Money Market Account,M,32,Married,Other
Money Market Account,M,34,Married,Sales
Checking Account,F,18,Single,Student
Money Market Account,F,31,Married,Executive
Money Market Account,M,28,Single,Trades
Personal Loan,F,24,Single,Student
Money Market Account,F,29,Single,Other
Money Market Account,F,29,Single,Other
Checking Account,F,68,Unspecified,Hospitality
Money Market Account,M,42,Married,Trades
Money Market Account,M,42,Married,Trades
Money Market Account,F,33,Married,Hospitality
Money Market Account,F,33,Married,Hospitality
Money Market Account,F,33,Married,Hospitality
Credit Card,F,54,Married,Other
Credit Card,F,54,Married,Other
Credit Card,F,54,Married,Other
Credit Card,M,38,Married,Executive
Credit Card,M,38,Married,Executive
Credit Card,M,38,Married,Executive
Money Market Account,M,24,Single,Other
Personal Loan,F,24,Unspecified,Other
Personal Loan,F,24,Unspecified,Other
Checking Account,F,20,Single,Retail
Money Market Account,F,20,Single,Retail
Checking Account,F,29,Single,Professional
Money Market Account,M,40,Married,Other
Checking Account,F,49,Unspecified,Hospitality
Money Market Account,F,26,Single,Other
Checking Account,F,51,Unspecified,Hospitality
Personal Loan,M,29,Single,Professional
Checking Account,F,33,Married,Executive
Credit Card,M,47,Married,Professional
Money Market Account,F,38,Married,Other
Checking Account,F,39,Married,Executive
