ID,TRANS_TYPE,GENDER,AGE,MARITAL_STATUS,PROFESSION
1,Not Fraud,M,27,Single,Professional
2,Not Fraud,F,39,Married,Other
3,Not Fraud,F,39,Married,Other
4,Not Fraud,F,56,Unspecified,Hospitality
5,Refer to Agent,M,45,Married,Retired
6,Refer to Agent,M,45,Married,Retired
7,Not Fraud,F,39,Married,Other
8,Not Fraud,F,49,Married,Other
9,Fraud,F,49,Married,Other
10,Refer to Agent,M,47,Married,Retired
11,Refer to Agent,M,47,Married,Retired
12,Not Fraud,M,21,Single,Retail
13,Not Fraud,F,66,Married,Other
14,Not Fraud,F,35,Married,Professional
15,Not Fraud,M,20,Single,Sales
16,Not Fraud,M,20,Single,Sales
17,Not Fraud,M,20,Single,Sales
18,Not Fraud,F,37,Single,Other
19,Not Fraud,M,42,Married,Other
20,Not Fraud,F,24,Married,Retail
21,Not Fraud,F,24,Married,Retail
22,Not Fraud,M,29,Single,Retail
23,Not Fraud,M,29,Single,Retail
24,Not Fraud,M,43,Married,Trades
25,Not Fraud,M,43,Married,Trades
26,Not Fraud,F,43,Unspecified,Hospitality
27,Not Fraud,F,43,Unspecified,Hospitality
28,Not Fraud,F,43,Unspecified,Hospitality
29,Not Fraud,F,43,Unspecified,Hospitality
30,Not Fraud,M,29,Single,Other
31,Not Fraud,M,41,Married,Professional
32,Not Fraud,M,32,Married,Other
33,Not Fraud,M,34,Married,Sales
34,Not Fraud,F,18,Single,Student
35,Not Fraud,F,31,Married,Executive
36,Not Fraud,M,28,Single,Trades
37,Not Fraud,F,24,Single,Student
38,Not Fraud,F,29,Single,Other
39,Not Fraud,F,29,Single,Other
40,Not Fraud,F,68,Unspecified,Hospitality
41,Not Fraud,M,42,Married,Trades
42,Not Fraud,M,42,Married,Trades
43,Not Fraud,F,33,Married,Hospitality
44,Not Fraud,F,33,Married,Hospitality
45,Not Fraud,F,33,Married,Hospitality
46,Refer to Agent,F,54,Married,Other
47,Refer to Agent,F,54,Married,Other
48,Refer to Agent,F,54,Married,Other
49,Refer to Agent,M,38,Married,Executive
50,Refer to Agent,M,38,Married,Executive
51,Refer to Agent,M,38,Married,Executive
52,Not Fraud,M,24,Single,Other
53,Not Fraud,F,24,Unspecified,Other
54,Not Fraud,F,24,Unspecified,Other
55,Not Fraud,F,20,Single,Retail
56,Not Fraud,F,20,Single,Retail
57,Not Fraud,F,29,Single,Professional
58,Not Fraud,M,40,Married,Other
59,Not Fraud,F,49,Unspecified,Hospitality
60,Not Fraud,F,26,Single,Other
61,Not Fraud,F,51,Unspecified,Hospitality
62,Not Fraud,M,29,Single,Professional
63,Not Fraud,F,33,Married,Executive
64,Refer to Agent,M,47,Married,Professional
65,Not Fraud,F,38,Married,Other
66,Not Fraud,F,39,Married,Executive
67,Not Fraud,M,29,Single,Professional
68,Not Fraud,M,29,Single,Professional
69,Not Fraud,F,33,Married,Executive
70,Not Fraud,F,20,Single,Professional
71,Not Fraud,M,31,Married,Other
72,Not Fraud,F,31,Single,Other
73,Not Fraud,F,42,Married,Other
74,Not Fraud,F,42,Married,Other
75,Not Fraud,F,42,Married,Other
76,Not Fraud,M,21,Single,Trades
77,Not Fraud,F,65,Married,Other
78,Fraud,F,65,Married,Other
79,Not Fraud,F,41,Unspecified,Hospitality
80,Fraud,F,41,Unspecified,Hospitality
81,Not Fraud,M,17,Single,Student
82,Refer to Agent,M,55,Married,Trades
83,Refer to Agent,M,55,Married,Trades
84,Refer to Agent,M,55,Married,Trades
85,Refer to Agent,M,55,Married,Trades
86,Not Fraud,F,52,Married,Executive
87,Not Fraud,M,35,Married,Trades
88,Not Fraud,F,34,Single,Retail
89,Not Fraud,M,25,Single,Other
90,Not Fraud,M,25,Single,Other
91,Not Fraud,M,25,Single,Other
92,Not Fraud,F,18,Single,Retail
93,Not Fraud,F,19,Single,Other
94,Not Fraud,M,36,Single,Professional
95,Not Fraud,M,33,Married,Professional
96,Not Fraud,M,33,Married,Sales
97,Not Fraud,F,30,Single,Professional
98,Not Fraud,F,29,Single,Other
99,Not Fraud,F,29,Single,Other
100,Not Fraud,M,21,Single,Sales
101,Fraud,M,21,Single,Sales
102,Not Fraud,F,44,Married,Other
103,Not Fraud,M,21,Single,Student
104,Not Fraud,M,21,Single,Student
105,Refer to Agent,M,46,Married,Trades
106,Not Fraud,F,47,Married,Sales
107,Not Fraud,F,34,Single,Professional
108,Not Fraud,F,24,Single,Professional
109,Not Fraud,F,27,Single,Retail
110,Not Fraud,F,28,Single,Professional
111,Not Fraud,M,26,Married,Other
112,Not Fraud,M,26,Married,Other
113,Not Fraud,M,29,Single,Professional
114,Not Fraud,M,29,Single,Professional
115,Not Fraud,M,29,Single,Professional
116,Not Fraud,F,23,Single,Professional
117,Not Fraud,M,27,Single,Other
118,Fraud,F,26,Married,Executive
119,Not Fraud,F,26,Married,Executive
120,Not Fraud,F,20,Single,Other
121,Not Fraud,M,26,Single,Other
122,Not Fraud,M,33,Married,Other
123,Not Fraud,M,33,Married,Other
124,Not Fraud,F,19,Single,Other
125,Not Fraud,F,19,Single,Other
126,Not Fraud,F,26,Married,Other
127,Not Fraud,F,26,Married,Other
128,Not Fraud,F,40,Married,Other
129,Not Fraud,F,40,Married,Other
130,Not Fraud,F,40,Married,Other
131,Not Fraud,M,40,Single,Other
132,Not Fraud,M,40,Single,Other
133,Not Fraud,M,40,Single,Other
134,Not Fraud,M,40,Single,Other
135,Not Fraud,M,40,Single,Other
136,Not Fraud,M,44,Single,Other
137,Not Fraud,M,44,Single,Other
138,Refer to Agent,M,43,Married,Trades
139,Refer to Agent,M,43,Married,Trades
140,Not Fraud,F,24,Single,Retail
141,Refer to Agent,M,28,Unspecified,Sales
142,Not Fraud,F,22,Single,Professional
143,Fraud,F,20,Married,Retail
144,Not Fraud,F,46,Married,Retail
145,Not Fraud,M,31,Unspecified,Sales
146,Not Fraud,M,31,Unspecified,Sales
147,Not Fraud,M,31,Unspecified,Sales
148,Not Fraud,M,31,Unspecified,Sales
149,Refer to Agent,M,31,Unspecified,Sales
150,Not Fraud,F,23,Single,Student
151,Not Fraud,F,23,Single,Student
152,Not Fraud,F,37,Married,Other
153,Not Fraud,F,37,Married,Other
154,Not Fraud,F,50,Married,Other
155,Not Fraud,F,18,Single,Student
156,Not Fraud,M,30,Single,Trades
157,Not Fraud,F,67,Married,Other
158,Not Fraud,M,30,Married,Other
159,Refer to Agent,M,24,Single,Professional
160,Not Fraud,F,31,Married,Other
161,Fraud,F,31,Married,Other
162,Not Fraud,M,35,Married,Other
163,Refer to Agent,M,41,Married,Trades
164,Refer to Agent,M,41,Married,Trades
165,Not Fraud,F,25,Single,Other
166,Not Fraud,F,23,Single,Other
167,Not Fraud,F,25,Single,Other
168,Refer to Agent,F,30,Married,Hospitality
169,Not Fraud,M,49,Unspecified,Trades
170,Not Fraud,M,39,Married,Other
171,Not Fraud,F,34,Married,Other
172,Not Fraud,F,34,Married,Other
173,Not Fraud,M,28,Single,Student
174,Not Fraud,F,42,Married,Other
175,Not Fraud,F,27,Single,Other
176,Not Fraud,M,25,Single,Professional
177,Refer to Agent,M,55,Married,Other
178,Not Fraud,M,27,Married,Other
179,Refer to Agent,M,27,Married,Other
180,Not Fraud,F,19,Single,Professional
181,Refer to Agent,M,50,Married,Professional
182,Not Fraud,F,33,Married,Other
183,Not Fraud,F,33,Married,Other
184,Not Fraud,M,35,Married,Sales
185,Not Fraud,M,26,Married,Sales
186,Not Fraud,M,26,Married,Sales
187,Not Fraud,F,31,Married,Retail
188,Not Fraud,F,31,Married,Retail
189,Not Fraud,M,42,Married,Sales
190,Fraud,M,42,Married,Sales
191,Not Fraud,F,40,Married,Other
192,Fraud,F,40,Married,Other
193,Not Fraud,F,21,Married,Other
194,Not Fraud,F,19,Single,Other
195,Not Fraud,F,43,Married,Other
196,Not Fraud,F,43,Married,Other
197,Not Fraud,F,31,Married,Other
198,Fraud,F,31,Married,Other
199,Not Fraud,F,49,Married,Executive
200,Fraud,F,49,Married,Executive
201,Refer to Agent,M,43,Married,Trades
202,Refer to Agent,M,43,Married,Trades
203,Not Fraud,F,29,Single,Hospitality
204,Not Fraud,F,29,Single,Hospitality
205,Not Fraud,F,24,Single,Retail
206,Not Fraud,M,20,Single,Other
207,Not Fraud,M,20,Single,Other
208,Not Fraud,M,33,Married,Executive
209,Not Fraud,M,19,Single,Other
210,Not Fraud,M,27,Married,Other
211,Not Fraud,M,27,Married,Executive
212,Not Fraud,M,27,Married,Executive
213,Not Fraud,M,27,Married,Executive
214,Not Fraud,F,22,Single,Other
215,Not Fraud,F,22,Single,Other
216,Not Fraud,F,25,Single,Retail
217,Not Fraud,F,39,Married,Other
218,Not Fraud,F,28,Single,Other
219,Not Fraud,F,20,Single,Student
220,Not Fraud,F,46,Married,Other
221,Not Fraud,F,46,Married,Other
222,Not Fraud,M,22,Single,Other
223,Not Fraud,F,40,Married,Other
224,Not Fraud,F,27,Single,Other
225,Not Fraud,F,57,Married,Retired
226,Refer to Agent,F,27,Single,Other
227,Not Fraud,F,27,Single,Other
228,Not Fraud,F,21,Single,Other
229,Not Fraud,F,25,Married,Executive
230,Not Fraud,M,35,Married,Other
231,Not Fraud,M,39,Married,Executive
232,Fraud,M,39,Married,Executive
233,Not Fraud,F,33,Married,Hospitality
234,Not Fraud,F,23,Single,Retail
235,Not Fraud,F,44,Married,Other
236,Not Fraud,M,31,Married,Sales
237,Not Fraud,M,31,Married,Sales
238,Not Fraud,F,23,Single,Retail
239,Fraud,M,24,Single,Student
240,Not Fraud,M,24,Single,Student
241,Not Fraud,M,31,Single,Professional
242,Not Fraud,M,31,Single,Professional
243,Not Fraud,F,19,Single,Retail
244,Not Fraud,M,33,Single,Other
245,Not Fraud,M,33,Single,Other
246,Not Fraud,M,41,Married,Other
247,Not Fraud,F,25,Married,Other
248,Not Fraud,F,25,Married,Other
249,Refer to Agent,M,43,Single,Other
250,Not Fraud,M,43,Single,Other
251,Not Fraud,M,43,Single,Other
252,Not Fraud,M,19,Single,Other
253,Not Fraud,M,19,Single,Other
254,Not Fraud,M,28,Single,Sales
255,Not Fraud,M,28,Single,Sales
256,Not Fraud,M,27,Single,Sales
257,Not Fraud,F,38,Married,Other
258,Not Fraud,F,38,Married,Other
259,Not Fraud,M,37,Married,Trades
260,Not Fraud,F,34,Married,Other
261,Not Fraud,F,34,Married,Other
262,Not Fraud,F,46,Married,Executive
263,Fraud,F,46,Married,Executive
264,Not Fraud,M,41,Married,Other
265,Not Fraud,M,41,Married,Other
266,Not Fraud,M,44,Single,Professional
267,Not Fraud,F,38,Single,Retail
268,Not Fraud,F,31,Married,Hospitality
269,Not Fraud,F,31,Married,Hospitality
270,Not Fraud,F,27,Married,Retail
271,Not Fraud,F,27,Married,Retail
272,Not Fraud,F,45,Married,Other
273,Fraud,M,24,Single,Student
274,Not Fraud,M,24,Single,Student
275,Not Fraud,M,39,Married,Other
276,Not Fraud,M,39,Married,Other
277,Not Fraud,F,28,Single,Student
278,Not Fraud,F,28,Single,Student
279,Refer to Agent,M,32,Single,Other
280,Refer to Agent,M,32,Single,Other
281,Refer to Agent,M,32,Single,Other
282,Not Fraud,F,52,Unspecified,Hospitality
283,Not Fraud,M,37,Unspecified,Trades
284,Not Fraud,M,29,Single,Professional
285,Not Fraud,M,41,Married,Professional
286,Not Fraud,F,34,Single,Retail
287,Refer to Agent,F,50,Married,Other
288,Refer to Agent,F,50,Married,Other
289,Not Fraud,M,27,Single,Trades
290,Not Fraud,F,27,Single,Other
291,Not Fraud,M,19,Single,Professional
292,Not Fraud,F,23,Married,Other
293,Fraud,F,23,Married,Other
294,Not Fraud,M,36,Married,Sales
295,Not Fraud,F,27,Single,Other
296,Not Fraud,F,23,Single,Hospitality
297,Not Fraud,M,27,Married,Other
298,Not Fraud,M,41,Married,Executive
299,Fraud,F,28,Single,Other
300,Not Fraud,F,31,Married,Professional
301,Not Fraud,M,32,Married,Executive
302,Not Fraud,M,32,Married,Executive
